"poi_id","valine_kood","x","y"
1191528,"JKK3700244",539294,6584517
1232734,"JKK4400295",698973,6592272
1232837,"JKK4400227",736550,6587444
1191553,"JKK3700115",579613,6591119
1219137,"JKK6500056",694504,6438353
1232839,"JKK8400087",591138,6441360
1233177,"JKK6700138",527339,6473604
1191853,"JKK3700064",526868,6576688
1233116,"JKK0900270",549887,6581028
1232862,"JKK4400269",711439,6592119
1185035,"JKK4400078",711445,6592115
1191556,"JKK3700390",546366,6587332
1232980,"JKK4900095",638499,6513386
1219108,"JKK8200076",621222,6407737
1232968,"JKK8200034",621487,6407722
1232741,"JKK4900043",614460,6502961
1191905,"JKK7400058",410465,6459374
1233061,"JKK7400015",411358,6459381
1191767,"JKK7000041",525227,6528815
1183780,"JKK5100165",581212,6520280
1191682,"JKK7800022",656087,6476852
1240206,"JKK7800022",656088,6476855
1183782,"JKK3700903",503728,6579424
1233181,"JKK6700125",530330,6473791
1232790,"JKK0900258",554064,6591161
1191743,"JKK3700100",553974,6590940
1233138,"JKK3700685",542338,6586532
1233136,"JKK3700279",534075,6588855
1232942,"JKK3700004",548703,6587045
1218924,"JKK3700232",548713,6587043
1232941,"JKK3700231",548696,6587045
1232940,"JKK3700221",548517,6588781
1191737,"JKK3700257",547493,6587581
1232938,"JKK3700256",547497,6587570
1219061,"JKK3700258",547500,6587573
1233159,"JKK3700555",539075,6591359
1232779,"JKK3700534",523049,6573833
1232796,"JKK3700559",556788,6591025
1232986,"JKK3700095",552886,6580396
1240185,"JKK3700509",552517,6590825
1232974,"JKK4400229",684763,6585889
1191617,"JKK5100067",608468,6545389
1191831,"JKK5700032",473924,6531406
1232707,"JKK5700032",473921,6531417
1233176,"JKK7000020",546518,6539931
1218980,"JKK7000108",546584,6514824
1191605,"JKK8400004",592030,6469301
1233034,"JKK5900117",638355,6575850
1191671,"JKK8600003",676529,6417085
1216369,"JKK6700085",531142,6473136
1232894,"JKK5900168",628832,6590028
1218975,"JKK8600024",679985,6413805
1232727,"JKK3700267",556602,6591825
1233057,"JKK3700562",548343,6587555
1191728,"JKK3700109",548277,6587621
1232906,"JKK3700281",544269,6588506
1232704,"JKK3700012",550325,6588695
1182788,"JKK4400040",733837,6586058
1182783,"JKK4400039",733500,6585301
1233016,"JKK8400030",591120,6441678
1232702,"JKK3700853",548620,6588230
1191769,"JKK3700336",548760,6587810
1219175,"JKK4400192",692672,6585170
1191601,"JKK8600002",679865,6413623
1232927,"JKK4900027",636850,6513721
1219044,"JKK6700105",559397,6501858
1219089,"JKK6500019",680971,6439167
1233108,"JKK7000133",538773,6545161
1240175,"JKK5700096",474493,6533788
1219023,"JKK7400035",412111,6453699
1233209,"JKK8200017",622815,6406589
1218992,"JKK7400010",412051,6458957
1233018,"JKK7000025",542608,6560140
1233084,"JKK7800313",659783,6474014
1232958,"JKK4900029",668206,6526953
1232966,"JKK7800026",660625,6471786
1182787,"JKK4400175",667395,6583435
1191774,"JKK4400171",667219,6583169
1218990,"JKK7800189",658120,6473374
1233087,"JKK7800278",657221,6474429
1232783,"JKK4400218",693192,6584981
1232709,"JKK3700173",552804,6585322
1233068,"JKK7800314",661112,6473548
1233190,"JKK5900188",662990,6594420
1232965,"JKK4400095",684647,6588220
1232908,"JKK3700276",539013,6586905
1218917,"JKK3700466",504412,6578056
1232680,"JKK3700003",504389,6578005
1233156,"JKK3700590",548855,6587605
1232736,"JKK3700520",548852,6587616
1191628,"JKK3700341",549637,6588017
1232749,"JKK3700288",549914,6588006
1191822,"JKK3700409",549880,6587976
1232914,"JKK3700053",549877,6587985
1232905,"JKK3700280",542158,6586755
1218997,"JKK3700340",566352,6561215
1232976,"JKK3700867",542604,6589521
1232911,"JKK3700297",539212,6586850
1191740,"JKK3700204",537879,6586521
1232979,"JKK3700699",540898,6584488
1233081,"JKK3700513",537292,6582825
1219033,"JKK4400132",703821,6591431
1232792,"JKK3700862",556761,6592756
1232675,"JKK3700103",549670,6587791
1232751,"JKK3700296",549515,6587935
1232719,"JKK3700874",549659,6587724
1219138,"JKK4400065",733736,6587051
1232960,"JKK4900033",614107,6503121
